TIME,%CPU,MEM
2024-03-21 17:07:35,0.0,123.90625
2024-03-21 17:07:36,0.0,123.90625
2024-03-21 17:07:37,0.0,123.90625
2024-03-21 17:07:38,0.0,123.90625
2024-03-21 17:07:39,0.0,123.90625
2024-03-21 17:07:40,0.0,123.90625
2024-03-21 17:07:41,0.0,123.90625
2024-03-21 17:07:42,0.0,123.90625
2024-03-21 17:07:43,0.0,123.90625
2024-03-21 17:07:44,0.0,123.90625
2024-03-21 17:07:45,0.0,123.90625
2024-03-21 17:07:46,151.8,221.31640625
2024-03-21 17:07:47,715.1,333.453125
2024-03-21 17:07:48,976.6,479.9921875
2024-03-21 17:07:49,954.8,561.484375
2024-03-21 17:07:50,980.6,639.453125
2024-03-21 17:07:51,925.8,732.109375
2024-03-21 17:07:52,953.8,788.046875
2024-03-21 17:07:53,928.7,875.859375
2024-03-21 17:07:54,938.7,969.296875
2024-03-21 17:07:55,919.9,1070.859375
2024-03-21 17:07:56,920.5,1172.421875
2024-03-21 17:07:57,940.7,1235.390625
2024-03-21 17:07:58,995.0,1375.546875
2024-03-21 17:07:59,937.5,1504.296875
2024-03-21 17:08:00,914.7,1672.109375
2024-03-21 17:08:01,972.6,1773.515625
2024-03-21 17:08:02,903.5,1886.171875
2024-03-21 17:08:03,919.7,1928.359375
2024-03-21 17:08:04,925.7,1905.875
2024-03-21 17:08:05,901.0,1805.515625
2024-03-21 17:08:06,925.7,1751.30078125
2024-03-21 17:08:07,932.7,1712.546875
2024-03-21 17:08:08,906.0,1617.7890625
2024-03-21 17:08:09,927.6,1575.796875
2024-03-21 17:08:10,934.7,1553.8359375
2024-03-21 17:08:11,913.0,1461.203125
2024-03-21 17:08:12,942.7,1405.77734375
2024-03-21 17:08:13,909.6,1316.15234375
2024-03-21 17:08:14,958.9,1289.5078125
2024-03-21 17:08:15,922.6,1214.09375
2024-03-21 17:08:16,930.7,1198.94921875
2024-03-21 17:08:17,901.0,1086.109375
2024-03-21 17:08:18,921.7,1069.7109375
2024-03-21 17:08:19,908.8,953.34375
2024-03-21 17:08:20,951.9,933.97265625
2024-03-21 17:08:21,917.7,1053.19140625
2024-03-21 17:08:22,955.5,1210.53515625
2024-03-21 17:08:23,913.0,1250.84765625
2024-03-21 17:08:24,977.6,1313.7421875
2024-03-21 17:08:25,945.7,1306.94140625
2024-03-21 17:08:26,921.0,1169.30078125
2024-03-21 17:08:27,963.5,1156.8359375
2024-03-21 17:08:28,920.7,1045.9140625
2024-03-21 17:08:29,912.9,1036.046875
2024-03-21 17:08:30,959.7,1000.62109375
2024-03-21 17:08:31,914.7,1172.8125
2024-03-21 17:08:32,954.0,1292.5
2024-03-21 17:08:33,942.7,1369.65625
2024-03-21 17:08:34,900.7,1271.75390625
2024-03-21 17:08:35,892.9,1189.734375
2024-03-21 17:08:36,933.6,1162.15625
2024-03-21 17:08:37,913.8,1150.203125
2024-03-21 17:08:38,893.0,1105.5234375
2024-03-21 17:08:39,924.7,1142.921875
2024-03-21 17:08:40,952.6,1178.37109375
2024-03-21 17:08:41,912.0,1072.5703125
2024-03-21 17:08:42,934.8,1187.23046875
2024-03-21 17:08:43,919.6,1257.328125
2024-03-21 17:08:44,936.9,1312.90234375
