TIME,%CPU,MEM
2024-03-21 17:55:41,0.0,239.71875
2024-03-21 17:55:42,0.0,239.71875
2024-03-21 17:55:43,0.0,239.71875
2024-03-21 17:55:44,0.0,239.71875
2024-03-21 17:55:45,54.9,362.31640625
2024-03-21 17:55:46,1306.2,731.69140625
2024-03-21 17:55:47,1469.8,902.94140625
2024-03-21 17:55:48,1423.8,1392.94140625
2024-03-21 17:55:49,1345.9,1407.16015625
2024-03-21 17:55:50,1146.0,1608.09765625
2024-03-21 17:55:51,981.1,1860.91015625
2024-03-21 17:55:52,792.3,1811.6875
2024-03-21 17:55:53,790.9,2032.37109375
2024-03-21 17:55:54,754.8,2289.08984375
2024-03-21 17:55:55,741.2,2291.12109375
2024-03-21 17:55:56,742.0,2291.27734375
2024-03-21 17:55:57,734.9,2292.37109375
2024-03-21 17:55:58,733.2,2293.46484375
2024-03-21 17:55:59,724.9,2293.77734375
2024-03-21 17:56:00,749.9,2293.93359375
2024-03-21 17:56:01,738.3,2291.203125
2024-03-21 17:56:02,748.9,2292.453125
2024-03-21 17:56:03,736.0,2292.609375
2024-03-21 17:56:04,728.2,2293.546875
2024-03-21 17:56:05,752.9,2293.546875
2024-03-21 17:56:06,729.8,2294.171875
2024-03-21 17:56:07,764.3,2301.359375
2024-03-21 17:56:08,758.9,2254.01953125
2024-03-21 17:56:09,756.8,2499.17578125
2024-03-21 17:56:10,730.3,2511.36328125
2024-03-21 17:56:11,749.9,2499.4765625
2024-03-21 17:56:12,745.0,2499.6328125
2024-03-21 17:56:13,745.1,2499.7890625
2024-03-21 17:56:14,754.7,2499.9453125
2024-03-21 17:56:15,748.9,2500.4140625
2024-03-21 17:56:16,785.4,2500.7265625
2024-03-21 17:56:17,744.8,2500.7265625
2024-03-21 17:56:18,743.9,2500.7265625
2024-03-21 17:56:19,755.2,2514.4765625
2024-03-21 17:56:20,767.8,2501.30859375
2024-03-21 17:56:21,744.7,2501.62109375
2024-03-21 17:56:22,773.4,2502.55859375
2024-03-21 17:56:23,737.9,2801.46484375
