TIME,%CPU,MEM
2024-03-21 17:01:28,0.0,239.86328125
2024-03-21 17:01:29,0.0,239.86328125
2024-03-21 17:01:30,1.0,239.86328125
2024-03-21 17:01:31,0.0,239.86328125
2024-03-21 17:01:32,0.0,239.86328125
2024-03-21 17:01:33,0.0,239.86328125
2024-03-21 17:01:34,0.0,239.86328125
2024-03-21 17:01:35,0.0,239.86328125
2024-03-21 17:01:36,0.0,239.86328125
2024-03-21 17:01:37,0.0,239.86328125
2024-03-21 17:01:38,2.0,252.36328125
2024-03-21 17:01:39,0.0,239.921875
2024-03-21 17:01:40,0.0,239.921875
2024-03-21 17:01:41,0.0,239.921875
2024-03-21 17:01:42,1.0,239.921875
2024-03-21 17:01:43,0.0,239.921875
2024-03-21 17:01:44,0.0,239.921875
2024-03-21 17:01:45,0.0,239.921875
2024-03-21 17:01:46,1.0,239.921875
2024-03-21 17:01:47,0.0,239.921875
2024-03-21 17:01:48,0.0,239.921875
2024-03-21 17:01:49,1213.2,641.09375
2024-03-21 17:01:50,1478.8,958.10546875
2024-03-21 17:01:51,1422.0,1088.73046875
2024-03-21 17:01:52,1283.1,1235.44921875
2024-03-21 17:01:53,1059.3,1239.19921875
2024-03-21 17:01:54,885.7,1250.76171875
2024-03-21 17:01:55,759.4,1326.2265625
2024-03-21 17:01:56,725.0,1371.53515625
2024-03-21 17:01:57,698.6,1371.84765625
2024-03-21 17:01:58,721.0,1327.33984375
2024-03-21 17:01:59,694.5,1327.49609375
2024-03-21 17:02:00,710.1,1332.18359375
2024-03-21 17:02:01,700.9,1301.5390625
2024-03-21 17:02:02,700.3,1280.32421875
2024-03-21 17:02:03,700.9,1292.19921875
2024-03-21 17:02:04,697.9,1296.5234375
2024-03-21 17:02:05,701.4,1297.7734375
2024-03-21 17:02:06,699.9,1297.7734375
2024-03-21 17:02:07,696.0,1297.7734375
2024-03-21 17:02:08,688.4,1297.9296875
2024-03-21 17:02:09,690.0,1298.0859375
2024-03-21 17:02:10,702.0,1298.3984375
2024-03-21 17:02:11,696.2,1302.3046875
2024-03-21 17:02:12,686.9,1302.4609375
2024-03-21 17:02:13,697.9,1302.4609375
2024-03-21 17:02:14,686.4,1302.4609375
2024-03-21 17:02:15,691.2,1302.4609375
2024-03-21 17:02:16,689.1,1303.8671875
2024-03-21 17:02:17,681.1,1303.8671875
2024-03-21 17:02:18,698.1,1307.9296875
2024-03-21 17:02:19,698.5,1308.0859375
2024-03-21 17:02:20,693.0,1308.0859375
