TIME,%CPU,MEM
2024/3/21 16:51,0,123.75
2024/3/21 16:51,0,123.75
2024/3/21 16:51,0,123.75
2024/3/21 16:51,0,123.75
2024/3/21 16:51,0,123.75
2024/3/21 16:51,0,123.75
2024/3/21 16:51,0,123.75
2024/3/21 16:51,566.1,225.7109375
2024/3/21 16:51,760,338.0546875
2024/3/21 16:51,957,501.4921875
2024/3/21 16:51,967.8,586.9609375
2024/3/21 16:52,1006.7,654.3046875
2024/3/21 16:52,971.7,716.6484375
2024/3/21 16:52,964.7,779.7734375
2024/3/21 16:52,965.7,839.9296875
2024/3/21 16:52,946.7,924.3046875
2024/3/21 16:52,986.7,976.6484375
2024/3/21 16:52,956.6,1053.210938
2024/3/21 16:52,945.9,1114.460938
2024/3/21 16:52,970.7,1197.273438
2024/3/21 16:52,954.7,1256.179688
2024/3/21 16:52,1000.7,1218.613281
2024/3/21 16:52,975.5,1175.902344
2024/3/21 16:52,964.6,1099.535156
2024/3/21 16:52,947,1055.1875
2024/3/21 16:52,965.7,1017.25
2024/3/21 16:52,933.8,968.671875
2024/3/21 16:52,947.8,920.0273438
2024/3/21 16:52,966.7,845.1875
2024/3/21 16:52,1004.6,799.8359375
2024/3/21 16:52,962.7,738.8710938
2024/3/21 16:52,946.7,667.1484375
2024/3/21 16:52,987.6,620.4101563
2024/3/21 16:52,832.8,555.953125
2024/3/21 16:52,1,555.953125
2024/3/21 16:52,0,555.953125
2024/3/21 16:52,0,555.953125
2024/3/21 16:52,0,555.953125
2024/3/21 16:52,0,555.953125
2024/3/21 16:52,0,555.953125
2024/3/21 16:52,0,555.953125
2024/3/21 16:52,0,555.953125
2024/3/21 16:52,0,555.953125
